product_name,Attributes
"Versace,Perfume,Eau de Toillete,Parfum,Elixir,Ø±ÙŠØ­Ø©,Ø¹Ø·Ø±,Ù…ØºØ·Ø±","Product Form Factor:Liquid, Product Scent:Chypre, Product Sheet Size:type, Product size:200mL, Product Special Feature:Fresh, Product Weight:612.35 g"
"Versace,Perfume,Eau de Toillete,Parfum,Elixir,Ø±ÙŠØ­Ø©,Ø¹Ø·Ø±,Ù…ØºØ·Ø±","Product Form Factor:Liquid, Product Scent:Wood, Product Sheet Size:type, Product size:200mL, Product Special Feature:Original, Product Weight:190.51 g"
"Versace,Perfume,Eau de Toillete,Parfum,Elixir,Ø±ÙŠØ­Ø©,Ø¹Ø·Ø±,Ù…ØºØ·Ø±","Product Form Factor:Liquid, Product Scent:Jasmine , Musk , Wood , Cedar, Product Sheet Size:type, Product size:100mL, Product Special Feature:Fresh, Product Weight:100 g"
"Versace,Perfume,Eau de Toillete,Parfum,Elixir,Ø±ÙŠØ­Ø©,Ø¹Ø·Ø±,Ù…ØºØ·Ø±","Product Form Factor:Liquid, Product Scent:Wood, Product Sheet Size:type, Product size:100mL, Product Special Feature:Scented, Product Weight:96.36 g"
Versace Dylan Turquoise Eau de Toilette Natural Spray - 100ml,"Product Form Factor:Spray, Product Scent:Floral, Product Sheet Size:type, Product size:100mL, Product Special Feature:Original, Product Weight:96.39 Grams"
Samsung 3.1.2Ch Wireless Soundbar with Dolby Atmos/Dts - Black,
Samsung 3.1Ch Wireless Soundbar with Dolby Digital/DTS - Black,
GoPro Hero10 Action Camera with 64GB SanDisk Extreme SDXC Memory Card - Black,"Product color:Black, Product Mega Pixel:23 Mega Pixels, Product Product-Type:Digital Point &amp; Shoot Camera, Product Sheet Size:type, Product Weight:0.47 Kg"
"Astronaut Wall Decals, Satellite Planets and Stars Outer Space Wall Art Wall Stickers, Nursery Kids Room Gaming Room Wall Decor","Product color:multi, Product Material:Paper, Product Shape:Irregular, Product Sheet Size:type, Product Weight:120 g"
"Lumoonosity Planet Neon Sign, USB Powered Planet Light Led Neon Signs with On/Off Switch, Planet Led Sign for Wall Decor, Aesthetic Hanging Saturn Neon Light, Planet Lights for Bedroom, Gaming Room","Product color:multi, Product Material:Plastic, Product Sheet Size:type, Product Theme:Halloween, Product Weight:279 g"
"Lumoonosity Planet Neon Light - USB Powered Neon Planet Sign with On/Off Switch - Cool Blue Planet Led Sign for Wall Decor - Hanging Saturn LED Light- Planet Lights for Bedroom, Gaming Room","Product color:Blue, Product Material:Plastic, Product Sheet Size:type, Product Theme:Planet, Product Weight:259 g"
"Dinosaurs Stick Wall Art Decals Colorful Animal DIY Wall Stickers for Kids Baby Bedroom, Nursery, Classroom &amp; Living Room Decorâ€¦","Product color:Dinosaur, Product Material:Vinyl, Product Sheet Size:type, Product Special Feature:Waterproof, Product Theme:Animal, Product Weight:77 g"
"Pirates Thousand Sunny Print on Canvas Painting Wall Art for Living Room Decor Boy Gift (Unframed, Q-One piece 4)","Product color:Q-One piece 4, Product size:Unframed, Product Theme:Anime"
"Anime One Piece Poster The Straw Hat Pirates Luffy Ace Sabo Print on Canvas Painting Wall Art for Living Room Decor Boy Gift (Unframed, Q-One piece 1)","Product color:Q3, Product size:Unframed, Product Style:Tube, Product Theme:Anime,Pirates, Product Weight:449 g"
"Anime One Piece Poster The Straw Hat Pirates Thousand Sunny Print on Canvas Painting Wall Art for Living Room Decor Boy Gift (Unframed, Q-One piece 2)","Product color:Q4, Product size:Unframed, Product Style:Hat, Product Theme:Anime, Product Weight:340 g"
"Anime One Piece Poster The Straw Hat Pirates Thousand Sunny Print on Canvas Painting Wall Art for Living Room Decor Boy Gift (With Frame, Q-One piece 4)","Product color:Q-One piece 4, Product size:With Frame, Product Theme:Anime"
